seller_id,seller_zip_code_prefix,seller_city,seller_state,total_gmv,avg_order_value,total_items,total_freight,avg_freight,unique_orders,unique_products,avg_review_score,review_count,review_score_std,total_reviews,bad_review_rate,avg_shipping_days,median_shipping_days,avg_delivery_days,median_delivery_days,delivery_success_rate,category_count,sku_count,first_order_date,last_order_date,total_orders,active_days,order_frequency,revenue_per_order,items_per_order,is_active,business_tier,cluster_tier,cluster_tier_name
f8d5c7085db9a4ad2b8c1ffbeb2798c8,4104,sao paulo,SP,263.0,43.83,6,100.41,16.74,6,5,5.0,6,0.0,6,0.0,2.83,3.0,8.5,7.0,100.0,1,5,2017-03-30 11:59:33,2018-02-05 19:51:29,6,313,0.0192,43.833333333333336,1.0,1,Basic,1,Silver
9c1c0c36cd23c20897e473901a8fb149,11702,praia grande,SP,544.97,77.85,7,172.07,24.58,6,3,5.0,7,0.0,7,0.0,1.43,1.0,3.43,3.0,100.0,1,3,2018-05-18 18:22:51,2018-08-23 19:57:47,7,98,0.0714,90.82833333333332,1.1666666666666667,1,Bronze,1,Silver
5721089ba9214e80074f27d5a03fc0eb,1408,sao paulo,SP,245.93,35.13,7,66.64,9.52,5,4,5.0,7,0.0,7,0.0,3.0,2.0,3.57,5.0,100.0,2,4,2017-11-02 11:01:12,2018-01-30 15:24:11,7,90,0.0778,49.186,1.4,1,Basic,1,Silver
a64e44665225d19dfc0277eeeaaccc57,19400,sao paulo,SP,335.0,55.83,6,91.76,15.29,6,3,5.0,6,0.0,6,0.0,2.0,1.5,5.33,5.0,100.0,1,3,2018-06-22 15:06:34,2018-08-22 14:53:45,6,61,0.0984,55.833333333333336,1.0,1,Basic,1,Silver
adbe70ab2c97442046d393988c8d1d27,9321,maua,SP,289.5,57.9,5,65.15,13.03,5,2,5.0,4,0.0,4,0.0,1.0,1.0,5.2,6.0,100.0,1,2,2017-09-07 13:07:38,2017-10-12 16:51:36,5,36,0.1389,57.9,1.0,1,Basic,1,Silver
0570350b23eda5444f8d1d9544932058,5104,sao paulo,SP,626.9,56.99,11,124.86,11.35,6,3,5.0,11,0.0,11,0.0,0.73,1.0,3.0,1.0,100.0,2,3,2018-04-12 23:43:37,2018-05-22 20:17:22,11,40,0.275,104.48333333333332,1.8333333333333333,1,Bronze,1,Silver
48efc9d94a9834137efd9ea76b065a38,81130,curitiba,PR,345.6,10.16,34,320.4,9.42,33,17,5.0,34,0.0,34,0.0,5.15,6.0,5.09,5.0,100.0,8,17,2016-12-23 23:16:47,2017-01-26 10:00:37,34,34,1.0,10.472727272727273,1.0303030303030305,1,Basic,4,Gold
228e4c1a0be164f613d41c24345f9d2c,86360,bandeirantes,PR,539.7,107.94,5,229.74,45.95,5,3,5.0,5,0.0,5,0.0,3.6,3.0,6.8,7.0,100.0,1,3,2018-05-07 13:31:20,2018-08-10 22:17:45,5,96,0.0521,107.94,1.0,1,Bronze,1,Silver
41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,423.6,84.72,5,68.31,13.66,5,2,5.0,5,0.0,5,0.0,2.2,3.0,7.2,4.0,100.0,1,2,2018-04-03 16:31:37,2018-06-14 20:24:49,5,73,0.0685,84.72,1.0,1,Basic,1,Silver
74871d19219c7d518d0090283e03c137,4650,sao paulo,SP,550.04,78.58,7,87.87,12.55,6,6,5.0,7,0.0,7,0.0,0.14,0.0,2.57,1.0,100.0,3,6,2018-04-05 16:56:38,2018-08-21 19:11:28,7,139,0.0504,91.67333333333332,1.1666666666666667,1,Bronze,1,Silver
41c2bad7229b0c25e6becf179ebf63ff,59020,natal,RN,782.0,34.0,23,189.92,8.26,20,4,4.96,23,0.21,23,0.0,1.22,1.0,2.57,3.0,100.0,1,4,2017-11-27 23:23:49,2018-07-20 21:11:30,23,235,0.0979,39.1,1.15,1,Bronze,1,Silver
9d681c7e12db302cb261e721040dde65,80330,curitiba,PR,785.6,56.11,14,273.08,19.51,13,8,4.93,14,0.27,14,0.0,1.93,1.5,6.29,5.5,100.0,1,8,2018-05-21 18:18:25,2018-08-16 16:19:13,14,87,0.1609,60.43076923076923,1.0769230769230769,1,Bronze,1,Silver
2f4b0d3b9634b647d4edee577d7ebb7e,2310,sao paulo,SP,337.9,30.72,11,84.41,7.67,10,3,4.91,11,0.3,11,0.0,3.73,4.0,2.0,1.0,100.0,1,3,2018-01-26 16:15:02,2018-03-10 10:10:19,11,43,0.2558,33.79,1.1,1,Basic,1,Silver
2d2322d842118867781fc737e96d59a1,5879,sao paulo,SP,176.4,17.64,10,104.97,10.5,8,5,4.9,10,0.32,10,0.0,1.6,2.0,4.5,1.5,100.0,1,5,2018-06-08 10:35:03,2018-08-25 21:20:50,10,79,0.1266,22.05,1.25,1,Basic,1,Silver
bd149ed516d4c5d418d5781f8e18919f,7241,guarulhos,SP,414.0,46.0,9,141.94,15.77,8,3,4.89,9,0.33,9,0.0,3.33,1.0,4.67,5.0,100.0,1,3,2017-10-31 14:13:14,2018-08-23 23:04:04,9,297,0.0303,51.75,1.125,1,Basic,1,Silver
b67d6c666e8dce1d078c882825e12704,3641,sao paulo,SP,352.84,44.1,8,104.19,13.02,7,6,4.88,8,0.35,8,0.0,3.0,2.5,4.62,6.0,100.0,2,6,2018-07-06 12:11:22,2018-08-08 16:42:07,8,34,0.2353,50.40571428571428,1.1428571428571428,1,Basic,1,Silver
0951a6e282947e09cd47969f4ed0b47f,6763,taboao da serra,SP,492.3,70.33,7,88.02,12.57,7,2,4.86,7,0.38,7,0.0,0.57,1.0,3.29,3.0,100.0,2,2,2018-07-26 09:25:14,2018-08-27 14:39:21,7,33,0.2121,70.32857142857144,1.0,1,Basic,1,Silver
3ea00e1dea2b0659dbaf654735929220,80020,curitiba,PR,505.0,72.14,7,144.97,20.71,7,2,4.86,7,0.38,7,0.0,2.29,2.0,7.71,6.0,100.0,1,2,2017-02-22 16:04:36,2018-03-14 23:13:24,7,386,0.0181,72.14285714285714,1.0,1,Bronze,1,Silver
6b803197e03abd5056b4313306b4f29d,1123,sao paulo,SP,407.0,33.92,12,123.62,10.3,7,5,4.83,12,0.58,12,0.0,0.33,0.0,3.58,1.0,100.0,2,5,2018-02-06 23:23:59,2018-08-20 21:11:22,12,195,0.0615,58.142857142857146,1.7142857142857142,1,Basic,1,Silver
101a3a003516bc11253298b2fad3cb65,13503,rio claro,SP,450.0,75.0,6,74.0,12.33,5,2,4.83,6,0.41,6,0.0,1.17,0.0,5.0,6.0,100.0,2,2,2018-06-21 20:47:22,2018-07-26 19:02:58,6,35,0.1714,90.0,1.2,1,Basic,1,Silver
a72c2f59332659e361d647515c698798,95270,flores da cunha,RS,802.9,133.82,6,131.03,21.84,5,3,4.83,6,0.41,6,0.0,2.33,2.0,6.5,6.0,100.0,2,3,2018-01-14 17:09:25,2018-07-16 21:37:24,6,184,0.0326,160.57999999999998,1.2,1,Bronze,1,Silver
33cbda8716511e27e556dff9d8418bf2,89052,blumenau,SC,507.4,84.57,6,108.17,18.03,5,5,4.83,6,0.41,6,0.0,1.5,1.0,10.67,12.0,100.0,3,5,2017-03-30 14:48:27,2018-06-05 13:29:17,6,432,0.0139,101.48,1.2,1,Bronze,1,Silver
6e13dd869aa7185f601c941423abcc8f,5311,sao paulo,SP,522.0,87.0,6,76.08,12.68,5,2,4.83,6,0.41,6,0.0,1.83,2.0,1.67,1.0,100.0,1,2,2018-04-07 18:30:52,2018-07-17 16:29:37,6,101,0.0594,104.4,1.2,1,Bronze,1,Silver
6c6e3d67f969468f3bfd33f827a31222,87035,maringa,PR,224.0,37.33,6,92.41,15.4,5,4,4.83,6,0.41,6,0.0,0.33,0.0,7.67,9.0,100.0,1,4,2018-03-11 22:56:57,2018-08-09 18:55:30,6,151,0.0397,44.8,1.2,1,Basic,1,Silver
bb2afe2061d53c6968aa0cffa233a8ec,4307,sao paulo,SP,549.4,91.57,6,94.62,15.77,5,4,4.83,6,0.41,6,0.0,0.17,0.0,3.83,4.5,100.0,1,4,2018-05-09 17:11:55,2018-07-21 23:56:29,6,74,0.0811,109.88,1.2,1,Bronze,1,Silver
5a6a02f419701fc8c605af71d4fc57a4,13465,americana,SP,600.5,54.59,11,113.91,10.36,10,9,4.82,11,0.4,11,0.0,1.64,1.0,2.55,1.0,100.0,2,9,2018-05-14 21:43:39,2018-08-24 23:42:21,11,103,0.1068,60.05,1.1,1,Bronze,1,Silver
b080809eaacb49e5ca07290981472431,30431,belo horizonte,MG,424.0,38.55,11,143.4,13.04,11,6,4.82,11,0.4,11,0.0,3.45,1.0,6.09,6.0,100.0,1,6,2017-02-24 17:04:27,2018-05-15 08:48:09,11,445,0.0247,38.54545454545455,1.0,1,Basic,1,Silver
0ff83046c3fa22efee8ecf291888b191,95110,caxias do sul,RS,768.9,69.9,11,254.48,23.13,10,6,4.82,11,0.4,11,0.0,3.27,3.0,8.09,7.0,100.0,1,6,2017-04-01 18:33:06,2018-04-01 22:36:20,11,366,0.0301,76.89,1.1,1,Bronze,1,Silver
d4f117125b59ce73c3302f88ee40c458,4058,sao paulo,SP,783.29,46.08,17,215.32,12.67,17,8,4.82,17,0.39,17,0.0,1.47,1.0,5.18,6.0,100.0,1,8,2017-12-05 19:02:08,2018-08-12 15:55:36,17,250,0.068,46.07588235294117,1.0,1,Bronze,1,Silver
bbaff50f3b708fda865918715276cd87,12940,atibaia,SP,449.7,28.11,16,202.07,12.63,12,11,4.81,16,0.54,16,0.0,2.19,1.0,5.44,4.5,100.0,1,11,2017-03-15 11:20:40,2018-08-06 21:40:05,16,510,0.0314,37.475,1.3333333333333333,1,Basic,1,Silver
9dd59e43f0c9f0553244e8f9c2fb247e,85851,foz do iguacu,PR,356.3,35.63,10,151.82,15.18,10,8,4.8,10,0.63,10,0.0,2.1,1.5,10.1,7.5,100.0,1,8,2017-10-15 16:10:27,2018-01-23 15:30:59,10,100,0.1,35.63,1.0,1,Basic,1,Silver
b4b447d715f9ab302a188fb43d3e96b3,4711,sao paulo,SP,685.93,137.19,5,93.73,18.75,5,2,4.8,5,0.45,5,0.0,1.2,1.0,1.6,1.0,100.0,1,2,2018-07-03 15:00:40,2018-08-26 22:19:40,5,55,0.0909,137.18599999999998,1.0,1,Bronze,1,Silver
2fb25ab44bdbeae6a4d816e0d0c9d500,27274,volta redonda,RJ,683.08,136.62,5,78.21,15.64,5,2,4.8,5,0.45,5,0.0,1.8,2.0,5.6,7.0,100.0,2,2,2017-08-18 01:36:03,2018-06-22 21:40:54,5,309,0.0162,136.616,1.0,1,Bronze,1,Silver
8e34331b7eedd03be4e5d965c1956225,4009,sao paulo,SP,145.0,29.0,5,65.44,13.09,5,5,4.8,5,0.45,5,0.0,2.6,3.0,10.4,11.0,100.0,1,5,2018-01-22 11:43:20,2018-07-05 14:24:57,5,165,0.0303,29.0,1.0,1,Basic,1,Silver
a37c340b91cb0169e8b029db6440fba2,4424,sao paulo,SP,345.0,69.0,5,94.95,18.99,5,1,4.8,5,0.45,5,0.0,4.4,5.0,5.6,3.0,100.0,0,1,2017-06-26 16:37:01,2017-09-14 16:37:03,5,81,0.0617,69.0,1.0,1,Basic,1,Silver
acf974e4d5950ad143a247471b831eb9,95059,caxias do sul,RS,423.8,35.32,12,329.82,27.48,5,3,4.8,10,0.42,10,0.0,2.0,2.0,10.67,13.0,100.0,1,3,2017-03-07 16:20:35,2017-10-30 13:27:55,12,237,0.0506,84.76,2.4,1,Basic,1,Silver
b76a1f8356322f12529c37b67d5c96c2,11015,santos,SP,298.5,59.7,5,56.39,11.28,5,5,4.8,5,0.45,5,0.0,1.4,1.0,5.0,6.0,100.0,4,5,2017-12-19 19:01:13,2018-02-19 15:11:22,5,62,0.0806,59.7,1.0,1,Basic,1,Silver
d94ba08b99bedd6a5f6c875ecc4a6fac,86800,apucarana,PR,599.0,59.9,10,179.27,17.93,9,1,4.8,10,0.63,10,0.0,2.1,2.0,8.56,6.0,90.0,1,1,2017-04-12 11:02:29,2017-07-27 10:15:39,10,106,0.0943,66.55555555555556,1.1111111111111112,1,Bronze,1,Silver
499ec63c58e51296c9cf57edcfe1c8a8,2918,sao paulo,SP,365.0,73.0,5,47.93,9.59,5,1,4.8,5,0.45,5,0.0,0.6,0.0,3.8,2.0,100.0,1,1,2018-04-11 16:15:39,2018-06-03 19:20:42,5,54,0.0926,73.0,1.0,1,Basic,1,Silver
5236605f4d4b0b3e4df85b850393fca0,3311,sao paulo,SP,265.3,53.06,5,82.18,16.44,5,4,4.8,5,0.45,5,0.0,3.2,2.0,6.2,3.0,100.0,1,4,2017-08-09 13:04:46,2018-08-04 18:22:26,5,361,0.0139,53.06,1.0,1,Basic,1,Silver
ca77545ca4d2dfd1431bf61334e2fa3c,87020,maringa,PR,760.0,76.0,10,213.71,21.37,6,2,4.8,10,0.42,10,0.0,2.0,2.0,10.8,10.0,100.0,2,2,2018-01-02 09:37:13,2018-04-24 15:34:22,10,113,0.0885,126.66666666666669,1.6666666666666667,1,Bronze,1,Silver
97e995629983723d11830a829bc2b246,12604,lorena,SP,499.5,99.9,5,99.37,19.87,5,5,4.8,5,0.45,5,0.0,4.2,4.0,11.8,9.0,100.0,2,5,2017-11-07 16:31:04,2018-08-16 15:44:33,5,282,0.0177,99.9,1.0,1,Basic,1,Silver
38af8acfd46ac4a7bf754e8ca6736664,4364,sao paulo,SP,345.0,69.0,5,52.94,10.59,5,2,4.8,5,0.45,5,0.0,2.2,2.0,2.8,1.0,100.0,1,2,2017-11-27 23:02:54,2018-02-14 11:15:39,5,79,0.0633,69.0,1.0,1,Basic,1,Silver
b127efdabeffb5d559349c7b172eb75d,4308,sao paulo,SP,308.5,30.85,10,112.77,11.28,10,10,4.8,10,0.63,10,0.0,1.2,0.5,7.5,6.5,100.0,1,10,2017-01-26 13:51:54,2017-05-17 19:12:52,10,112,0.0893,30.85,1.0,1,Basic,1,Silver
079d295dcbf06ee8bb1b65ba964eb2b6,2124,sao paulo,SP,349.3,34.93,10,190.79,19.08,5,3,4.8,10,0.42,10,0.0,0.4,0.0,5.9,5.0,100.0,1,3,2018-06-25 12:37:03,2018-08-09 20:00:05,10,46,0.2174,69.86,2.0,1,Basic,1,Silver
8060d731897e33b5c5ae575ce1e209e1,89052,blumenau,SP,199.5,39.9,5,91.45,18.29,5,1,4.8,5,0.45,5,0.0,1.0,2.0,6.0,6.0,100.0,1,1,2018-05-07 10:09:40,2018-07-14 14:32:44,5,69,0.0725,39.9,1.0,1,Basic,1,Silver
4c1c7281388a33dd06daac44f9fadbd1,17510,marilia,SP,188.32,37.66,5,81.59,16.32,5,5,4.8,5,0.45,5,0.0,1.2,1.0,6.6,8.0,100.0,3,5,2018-04-04 09:12:02,2018-06-20 19:31:47,5,78,0.0641,37.664,1.0,1,Basic,1,Silver
8b2d4ab22f42c5cfc338b846decfda60,83820,fazenda rio grande,PR,458.0,50.89,9,185.32,20.59,6,3,4.78,9,0.44,9,0.0,2.67,2.0,9.33,9.0,100.0,2,3,2018-03-28 00:32:25,2018-08-20 00:11:37,9,145,0.0621,76.33333333333333,1.5,1,Basic,1,Silver
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,519.2,57.69,9,118.93,13.21,9,9,4.78,9,0.67,9,0.0,0.78,1.0,4.44,1.0,100.0,5,9,2018-07-05 06:46:44,2018-08-26 20:08:21,9,53,0.1698,57.6888888888889,1.0,1,Bronze,1,Silver
e88c9b79e592e370d6bd852eeefbf057,85501,pato branco,PR,251.87,27.99,9,142.11,15.79,8,7,4.78,9,0.44,9,0.0,1.67,1.0,5.89,6.0,100.0,1,7,2017-05-21 19:53:52,2017-07-13 11:44:22,9,53,0.1698,31.48375,1.125,1,Basic,1,Silver
75a4764c108403a7a0575140cb22287c,95072,caxias do sul,RS,716.9,79.66,9,210.15,23.35,5,3,4.78,9,0.44,9,0.0,2.33,3.0,6.78,6.0,100.0,2,3,2017-12-12 08:14:21,2018-04-10 08:47:23,9,120,0.075,143.38,1.8,1,Bronze,1,Silver
da6a60cc8cc724fe51be021ff8be779c,28941,sao pedro da aldeia,RJ,728.79,56.06,13,255.79,19.68,12,9,4.77,13,0.44,13,0.0,1.38,1.0,5.38,5.0,100.0,2,9,2018-05-21 21:49:53,2018-08-17 00:51:18,13,88,0.1477,60.7325,1.0833333333333333,1,Bronze,1,Silver
aac51c486b672a9850d59f3e84b1cf88,2752,sao paulo,SP,728.28,56.02,13,131.29,10.1,10,6,4.77,13,0.44,13,0.0,0.69,0.0,3.54,1.0,100.0,3,6,2018-08-12 09:56:51,2018-08-24 20:24:26,13,13,1.0,72.828,1.3,1,Bronze,1,Silver
13f57c12a00ed4610db646b913a7f5c6,11015,santos,SP,645.2,49.63,13,175.95,13.53,7,6,4.77,13,0.44,13,0.0,2.31,1.0,9.54,9.0,100.0,1,6,2017-09-25 10:08:28,2018-05-04 06:35:42,13,221,0.0588,92.17142857142858,1.8571428571428568,1,Bronze,1,Silver
57fe6232e67823593374a2281d7a8af8,13360,capivari,SP,178.68,22.34,8,105.36,13.17,8,7,4.75,8,0.46,8,0.0,1.12,0.5,7.38,7.0,100.0,1,7,2017-03-05 22:11:02,2017-12-01 08:46:08,8,271,0.0295,22.335,1.0,1,Basic,1,Silver
a06c8ff043abea0528ee44171e2140a2,35501,divinopolis,MG,514.5,64.31,8,92.43,11.55,8,6,4.75,8,0.46,8,0.0,0.38,0.0,2.62,1.5,100.0,3,6,2018-02-22 16:33:54,2018-08-09 21:16:06,8,169,0.0473,64.3125,1.0,1,Bronze,1,Silver
59cd88080b93f3c18508673122d26169,11707,praia grande,SP,392.33,32.69,12,175.38,14.62,10,10,4.75,12,0.62,12,0.0,2.17,2.0,10.5,7.5,100.0,1,10,2017-07-26 16:02:36,2017-12-09 11:52:32,12,136,0.0882,39.233,1.2,1,Basic,1,Silver
89a51f50b8095ea78d5768f34c13a76f,71931,brasilia,DF,677.16,61.56,11,177.1,16.1,10,10,4.73,11,0.47,11,0.0,0.91,0.0,5.73,6.0,100.0,1,10,2018-04-24 15:34:42,2018-07-31 20:54:09,11,99,0.1111,67.716,1.1,1,Bronze,1,Silver
3d0cd21d41671c46f82cd11176bf7277,89217,joinville,SC,447.8,40.71,11,174.58,15.87,9,6,4.73,11,0.65,11,0.0,3.09,4.0,9.0,9.0,100.0,4,6,2017-08-08 20:26:31,2018-08-06 14:38:01,11,363,0.0303,49.75555555555556,1.2222222222222223,1,Basic,1,Silver
e8a85b5f3df47be0984c55fd4064dbb4,71825,brasilia,DF,743.0,53.07,14,222.99,15.93,8,6,4.71,14,1.07,14,7.14,5.14,5.0,4.29,3.0,100.0,4,6,2018-02-11 08:14:07,2018-08-21 08:35:57,14,192,0.0729,92.875,1.75,1,Bronze,1,Silver
d197aa8fbc64087f61984deef05f6227,12224,sao jose dos campos,SP,519.09,74.16,7,111.56,15.94,6,6,4.71,7,0.49,7,0.0,2.86,3.0,3.29,2.0,100.0,2,6,2018-05-16 21:36:57,2018-08-21 13:46:22,7,97,0.0722,86.515,1.1666666666666667,1,Bronze,1,Silver
6824a69c9ea0313eba299dd4a2dba09a,35570,formiga,MG,666.9,95.27,7,117.18,16.74,6,6,4.71,7,0.76,7,0.0,0.0,0.0,3.57,2.0,100.0,3,6,2018-07-24 14:23:37,2018-08-20 15:12:42,7,28,0.25,111.15,1.1666666666666667,1,Bronze,1,Silver
365e4bce19bda0082c3d15d83fdb8bcd,9570,sao caetano do sul,SP,796.4,113.77,7,98.62,14.09,6,6,4.71,7,0.49,7,0.0,1.43,2.0,9.0,11.0,100.0,2,6,2018-01-22 13:52:39,2018-06-29 23:18:47,7,159,0.044,132.73333333333332,1.1666666666666667,1,Bronze,1,Silver
d2f3e277560ed4c6361284429b00f037,12942,atibaia,SP,320.55,45.79,7,134.11,19.16,7,7,4.71,7,0.49,7,0.0,1.57,1.0,5.43,7.0,100.0,1,7,2017-07-08 11:34:46,2017-10-08 13:26:33,7,93,0.0753,45.79285714285714,1.0,1,Basic,1,Silver
fadb07c842a2aef5d5a676b85f220e71,15052,sao jose do rio preto,SP,398.75,56.96,7,171.62,24.52,7,6,4.71,7,0.76,7,0.0,0.14,0.0,5.43,7.0,100.0,2,6,2018-06-05 13:24:11,2018-08-27 15:04:59,7,84,0.0833,56.96428571428572,1.0,1,Basic,1,Silver
55029529919c0123526150bd26ca8f20,32280,contagem,MG,453.95,64.85,7,134.88,19.27,7,6,4.71,7,0.49,7,0.0,3.0,3.0,4.86,5.0,100.0,3,6,2018-06-13 13:31:02,2018-08-13 15:07:30,7,62,0.1129,64.85,1.0,1,Basic,1,Silver
86ff3eaef0267069cc891a2ed9d10a17,88135,palhoca,SC,409.75,58.54,7,140.61,20.09,7,7,4.71,7,0.76,7,0.0,1.14,1.0,7.14,6.0,100.0,2,7,2018-04-17 15:19:13,2018-07-08 21:08:26,7,83,0.0843,58.535714285714285,1.0,1,Basic,1,Silver
5c3460cd3e8a984382ae254e7dd20d9f,15085,sao jose do rio preto,SP,775.76,77.58,10,198.54,19.85,9,5,4.7,10,0.67,10,0.0,0.7,0.0,7.9,6.0,100.0,1,5,2018-02-23 21:00:11,2018-08-16 15:40:31,10,174,0.0575,86.19555555555556,1.1111111111111112,1,Bronze,1,Silver
33cbbec1e7e1044aaf11d152172c776f,95705,bento goncalves,RS,730.67,45.67,16,398.83,24.93,15,9,4.69,16,0.48,16,0.0,0.75,1.0,6.31,5.0,100.0,1,9,2018-04-03 20:15:00,2018-08-18 13:56:19,16,137,0.1168,48.71133333333333,1.0666666666666669,1,Bronze,1,Silver
26d6bbee02420494d471c9f6436929c0,81530,curitiba,PR,434.51,33.42,13,247.19,19.01,12,10,4.69,13,0.48,13,0.0,1.08,1.0,6.08,4.0,100.0,4,10,2018-04-05 12:14:30,2018-08-25 19:15:56,13,143,0.0909,36.20916666666667,1.0833333333333333,1,Basic,1,Silver
caa9bc43a9fe8cf9c564ddd8a03cc4a6,12308,jacarei,SP,803.87,57.42,14,233.87,16.71,13,5,4.69,13,0.48,13,0.0,2.07,1.5,6.07,2.5,100.0,1,5,2018-04-16 13:04:33,2018-08-27 18:50:06,14,134,0.1045,61.83615384615385,1.0769230769230769,1,Bronze,1,Silver
18e694e0e48ed6f7aa3f24aade5fd697,13224,varzea paulista,SP,701.54,20.63,34,504.23,14.83,31,4,4.68,34,0.53,34,0.0,1.09,1.0,4.03,3.0,100.0,3,4,2018-06-05 19:28:28,2018-08-26 19:07:32,34,82,0.4146,22.63032258064516,1.096774193548387,1,Bronze,1,Silver
c8cc60ffd415254af5d9b9f34f32c369,18053,sorocaba,SP,722.2,80.24,9,194.03,21.56,8,7,4.67,9,0.5,9,0.0,0.44,0.0,3.67,1.0,100.0,1,7,2018-06-05 19:11:38,2018-08-15 17:47:48,9,71,0.1268,90.275,1.125,1,Bronze,1,Silver
c70a353f02429c00775a46a75fb787da,8275,sao paulo,SP,242.0,40.33,6,94.94,15.82,6,4,4.67,6,0.82,6,0.0,0.83,0.5,4.83,6.5,100.0,1,4,2018-07-17 18:27:15,2018-08-10 15:11:34,6,24,0.25,40.333333333333336,1.0,1,Basic,1,Silver
2953ce3a88f5e3c3b696d77fc9e4c8eb,4270,sao paulo,SP,470.0,31.33,15,161.32,10.75,14,7,4.67,15,1.05,15,6.67,2.27,2.0,5.13,3.0,100.0,2,7,2017-10-01 10:19:07,2018-08-23 17:19:57,15,327,0.0459,33.57142857142857,1.0714285714285714,1,Basic,1,Silver
6e1862e15f33d9994bc25922a85e1efc,13505,rio claro,SP,732.49,52.32,14,147.47,10.53,8,7,4.67,12,1.15,12,8.33,0.5,0.0,2.25,2.0,85.71,2,7,2018-06-08 09:47:41,2018-08-21 15:44:52,14,75,0.1867,91.56125,1.75,1,Bronze,1,Silver
6b15924333bd1a741595fe981ea04822,9541,sao caetano do sul,SP,614.32,29.25,21,240.14,11.44,21,5,4.67,21,0.66,21,0.0,1.19,1.0,5.86,5.0,100.0,1,5,2017-02-01 11:13:37,2017-07-05 00:35:30,21,154,0.1364,29.253333333333337,1.0,1,Bronze,1,Silver
